song name,artist,wav file location
Over The Moon,TOMORROW X TOGETHER,downloads/Over The Moon - TOMORROW X TOGETHER.wav
Now Or Never,Bonus Track - Kendrick Lamar,downloads/Now Or Never - Bonus Track - Kendrick Lamar.wav
Night Shift,Lucy Dacus,downloads/Night Shift - Lucy Dacus.wav
Glitch,Taylor Swift,downloads/Glitch - Taylor Swift.wav
Feel complete,pinkpantheress,downloads/Feel complete - pinkpantheress.wav
Tokyo Drift (Fast & Furious),"From ""The Fast And The Furious: Tokyo Drift"" Soundtrack - Teriyaki Boyz","downloads/Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack - Teriyaki Boyz.wav"
High Enough,K.Flay,downloads/High Enough - K.Flay.wav
I Was All Over Her,Salvia Palth,downloads/I Was All Over Her - Salvia Palth.wav
Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,Panic! at the Disco,downloads/Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off - Panic! at the Disco.wav
Monster,Kanye West,downloads/Monster - Kanye West.wav
Lotion,Deftones,downloads/Lotion - Deftones.wav
50 Ways to Leave Your Lover,Paul Simon,downloads/50 Ways to Leave Your Lover - Paul Simon.wav
Cocoa Butter Kisses,Chance the Rapper,downloads/Cocoa Butter Kisses - Chance the Rapper.wav
When You Die,MGMT,downloads/When You Die - MGMT.wav
Intro,The xx,downloads/Intro - The xx.wav
hooligan,Baby Keem,downloads/hooligan - Baby Keem.wav
Ophelia,pinkpantheress,downloads/Ophelia - pinkpantheress.wav
No More Like That,Eiafuawn,downloads/No More Like That - Eiafuawn.wav
Dear Future Husband,Meghan Trainor,downloads/Dear Future Husband - Meghan Trainor.wav
My Immortal,Evanescence,downloads/My Immortal - Evanescence.wav
Risk,Gracie Abrams,downloads/Risk - Gracie Abrams.wav
Cinderella (feat. Ty Dolla $ign),Mac Miller,downloads/Cinderella (feat. Ty Dolla $ign) - Mac Miller.wav
Me and My Broken Heart,Rixton,downloads/Me and My Broken Heart - Rixton.wav
What Ever Happened?,The Strokes,downloads/What Ever Happened? - The Strokes.wav
Tom's Diner,"7"" Version - DNA","downloads/Tom's Diner - 7"" Version - DNA.wav"
I Stay Away,Alice in Chains,downloads/I Stay Away - Alice in Chains.wav
Armed & Dangerous,King Von,downloads/Armed & Dangerous - King Von.wav
ELEMENT.,Kendrick Lamar,downloads/ELEMENT. - Kendrick Lamar.wav
24 Hours,Sky Ferreira,downloads/24 Hours - Sky Ferreira.wav
Lucretia My Reflection,Vinyl Version - Sisters of Mercy,downloads/Lucretia My Reflection - Vinyl Version - Sisters of Mercy.wav
Edamame,bbno$,downloads/Edamame - bbno$.wav
Look at Me!,xxxtentacion,downloads/Look at Me! - xxxtentacion.wav
Get Low,Lil Jon & The East Side Boyz,downloads/Get Low - Lil Jon & The East Side Boyz.wav
DM,FROMIS_9,downloads/DM - FROMIS_9.wav
Separate Ways (Worlds Apart) [2023 Remaster],Journey,downloads/Separate Ways (Worlds Apart) [2023 Remaster] - Journey.wav
Hennessy & Sailor Moon,Yung Lean,downloads/Hennessy & Sailor Moon - Yung Lean.wav
Die For You,The Weeknd,downloads/Die For You - The Weeknd.wav
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,"downloads/III. Telegraph Ave. (""Oakland"" by Lloyd) - Childish Gambino.wav"
Be Yourself,Frank Ocean,downloads/Be Yourself - Frank Ocean.wav
Touching Yourself,The Japanese House,downloads/Touching Yourself - The Japanese House.wav
Tiro Ao Álvaro,Elis Regina,downloads/Tiro Ao Álvaro - Elis Regina.wav
Ironic,2015 Remaster - Alanis Morissette,downloads/Ironic - 2015 Remaster - Alanis Morissette.wav
So What If I'm A Freak,Snow Strippers,downloads/So What If I'm A Freak - Snow Strippers.wav
All Day (with Tablo),RM,downloads/All Day (with Tablo) - RM.wav
You'll Be in My Heart,Spotify Singles - Niki,downloads/You'll Be in My Heart - Spotify Singles - Niki.wav
At The Door,The Strokes,downloads/At The Door - The Strokes.wav
On a Plain,Nirvana,downloads/On a Plain - Nirvana.wav
Forever,Single Version - The Little Dippers,downloads/Forever - Single Version - The Little Dippers.wav
Soap,Melanie Martinez,downloads/Soap - Melanie Martinez.wav
1 AM,CIV,downloads/1 AM - CIV.wav
Biking (Solo),Frank Ocean,downloads/Biking (Solo) - Frank Ocean.wav
Doçura,Marina Sena,downloads/Doçura - Marina Sena.wav
The Largest,BigXthaPlug,downloads/The Largest - BigXthaPlug.wav
Duvet,acoustic - bôa,downloads/Duvet - acoustic - bôa.wav
Low Down,Lil Baby,downloads/Low Down - Lil Baby.wav
Spring Breakers,Charli XCX,downloads/Spring Breakers - Charli XCX.wav
Selfish,Madison Beer,downloads/Selfish - Madison Beer.wav
ベサメ・ムーチョ,Lisa Ono,downloads/ベサメ・ムーチョ - Lisa Ono.wav
Heaven and Back,Chase Atlantic,downloads/Heaven and Back - Chase Atlantic.wav
come over,LE SSERAFIM,downloads/come over - LE SSERAFIM.wav
DotA,radio edit - Basshunter,downloads/DotA - radio edit - Basshunter.wav
Trap Royalty,very cool tutorials,downloads/Trap Royalty - very cool tutorials.wav
Salem Sisters,"Black Country, New Road","downloads/Salem Sisters - Black Country, New Road.wav"
help_urself,Ezekiel,downloads/help_urself - Ezekiel.wav
COULD BE WRONG,LOSTBOYJAY,downloads/COULD BE WRONG - LOSTBOYJAY.wav
The Tourist,Radiohead,downloads/The Tourist - Radiohead.wav
Recognize (feat. Drake),PARTYNEXTDOOR,downloads/Recognize (feat. Drake) - PARTYNEXTDOOR.wav
Given Up,Linkin Park,downloads/Given Up - Linkin Park.wav
Benz Truck (гелик),LIL PEEP,downloads/Benz Truck (гелик) - LIL PEEP.wav
Safe In Your Skin,Title Fight,downloads/Safe In Your Skin - Title Fight.wav
Eleven Weeks,Vansire,downloads/Eleven Weeks - Vansire.wav
Country Girl (Shake It for Me),Luke Bryan,downloads/Country Girl (Shake It for Me) - Luke Bryan.wav
GHOST TOWN,Benson Boone,downloads/GHOST TOWN - Benson Boone.wav
MIDDLE OF THE NIGHT,Elley Duhé,downloads/MIDDLE OF THE NIGHT - Elley Duhé.wav
Soon You’ll Get Better (feat. The Chicks),Taylor Swift,downloads/Soon You’ll Get Better (feat. The Chicks) - Taylor Swift.wav
Teardrops,Bring Me the Horizon,downloads/Teardrops - Bring Me the Horizon.wav
Peppers (feat. Tommy Genesis),Lana Del Rey,downloads/Peppers (feat. Tommy Genesis) - Lana Del Rey.wav
Sunday Bloody Sunday,Remastered 2008 - U2,downloads/Sunday Bloody Sunday - Remastered 2008 - U2.wav
thats no fun,Steve Lacy,downloads/thats no fun - Steve Lacy.wav
Gimme Shelter,The Rolling Stones,downloads/Gimme Shelter - The Rolling Stones.wav
Dance With Me,beabadoobee,downloads/Dance With Me - beabadoobee.wav
Cop Car,Mitski,downloads/Cop Car - Mitski.wav
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,downloads/Hot (Remix) [feat. Gunna and Travis Scott] - Young Thug.wav
You & Me,Flume Remix - Disclosure,downloads/You & Me - Flume Remix - Disclosure.wav
Hotline Bling,Drake,downloads/Hotline Bling - Drake.wav
Smart,LE SSERAFIM,downloads/Smart - LE SSERAFIM.wav
Baby,Charli XCX,downloads/Baby - Charli XCX.wav
DARK BEACH,Pastel Ghost,downloads/DARK BEACH - Pastel Ghost.wav
rinsed,Dean Blunt,downloads/rinsed - Dean Blunt.wav
E. Coli (feat. Earl Sweatshirt),The Alchemist,downloads/E. Coli (feat. Earl Sweatshirt) - The Alchemist.wav
Yucky Blucky Fruitcake,Doechii,downloads/Yucky Blucky Fruitcake - Doechii.wav
Change pt.2,RM,downloads/Change pt.2 - RM.wav
keep steady,sosocamo,downloads/keep steady - sosocamo.wav
